18:24:19.020 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 17 to Vm 1 in Host 1/DC 1 with a requested delay of 28 seconds.
18:24:19.021 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 18 to Vm 2 in Host 2/DC 1 with a requested delay of 48 seconds.
18:24:19.021 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 19 to Vm 3 in Host 3/DC 1 with a requested delay of 85 seconds.
18:24:19.021 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 20 to Vm 4 in Host 0/DC 1 with a requested delay of 44 seconds.
18:24:19.021 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 21 to Vm 5 in Host 1/DC 1 with a requested delay of 15 seconds.
18:24:19.021 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 22 to Vm 6 in Host 2/DC 1 with a requested delay of 38 seconds.
18:24:19.023 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 23 to Vm 7 in Host 3/DC 1 with a requested delay of 85 seconds.
18:24:19.023 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 24 to Vm 0 in Host 0/DC 1 with a requested delay of 22 seconds.
18:24:19.024 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 25 to Vm 1 in Host 1/DC 1 with a requested delay of 38 seconds.
18:24:19.024 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 26 to Vm 2 in Host 2/DC 1 with a requested delay of 91 seconds.
18:24:19.025 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 27 to Vm 3 in Host 3/DC 1 with a requested delay of 34 seconds.
18:24:19.025 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 28 to Vm 4 in Host 0/DC 1 with a requested delay of 2 seconds.
18:24:19.025 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 29 to Vm 5 in Host 1/DC 1 with a requested delay of 62 seconds.
18:24:19.026 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 30 to Vm 6 in Host 2/DC 1 with a requested delay of 6 seconds.
18:24:19.026 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 31 to Vm 7 in Host 3/DC 1 with a requested delay of 24 seconds.
18:24:19.027 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 32 to Vm 0 in Host 0/DC 1 with a requested delay of 51 seconds.
18:24:19.027 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 33 to Vm 1 in Host 1/DC 1 with a requested delay of 5 seconds.
18:24:19.027 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 34 to Vm 2 in Host 2/DC 1 with a requested delay of 75 seconds.
18:24:19.027 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 35 to Vm 3 in Host 3/DC 1 with a requested delay of 79 seconds.
18:24:19.027 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 36 to Vm 4 in Host 0/DC 1 with a requested delay of 91 seconds.
18:24:19.027 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 37 to Vm 5 in Host 1/DC 1 with a requested delay of 81 seconds.
18:24:19.027 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 38 to Vm 6 in Host 2/DC 1 with a requested delay of 56 seconds.
18:24:19.028 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 39 to Vm 7 in Host 3/DC 1 with a requested delay of 56 seconds.
18:24:19.028 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 40 to Vm 0 in Host 0/DC 1 with a requested delay of 26 seconds.
18:24:19.028 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 41 to Vm 1 in Host 1/DC 1 with a requested delay of 41 seconds.
18:24:19.028 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 42 to Vm 2 in Host 2/DC 1 with a requested delay of 78 seconds.
18:24:19.028 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 43 to Vm 3 in Host 3/DC 1 with a requested delay of 36 seconds.
18:24:19.028 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 44 to Vm 4 in Host 0/DC 1 with a requested delay of 97 seconds.
18:24:19.029 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 45 to Vm 5 in Host 1/DC 1 with a requested delay of 98 seconds.
18:24:19.029 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 46 to Vm 6 in Host 2/DC 1 with a requested delay of 96 seconds.
18:24:19.029 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 47 to Vm 7 in Host 3/DC 1 with a requested delay of 36 seconds.
18:24:19.029 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 48 to Vm 0 in Host 0/DC 1 with a requested delay of 97 seconds.
18:24:19.029 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 49 to Vm 1 in Host 1/DC 1 with a requested delay of 62 seconds.
18:24:19.029 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 50 to Vm 2 in Host 2/DC 1 with a requested delay of 63 seconds.
18:24:19.030 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 51 to Vm 3 in Host 3/DC 1 with a requested delay of 46 seconds.
18:24:19.030 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 52 to Vm 4 in Host 0/DC 1 with a requested delay of 38 seconds.
